concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_da_passagem;sentido_da_passagem;faixa_da_passagem;velocidade;tipo_de_veiculo;volume_total
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"09/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"11/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"11/02/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"12/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";2
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"13/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"15/02/2022";"Crescente";1;"51 - 80 KM";"Passeio";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"16/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"16/02/2022";"Crescente";1;"81 - 100 K";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"19/02/2022";"Crescente";1;"51 - 80 KM";"Comercial";1
"RODOVIA DO AÇO";"RDA01";"BR-393";"RJ";103.450;"Sapucaia";"Principal";-21.879046;-42.679691;"19/02/2022";"Crescente";1;"51 - 80 KM";"Passeio";1
